Time,Current,Voltage,Energy,Inst_energy,Inst_energy_t-1,Hour_interval,Day
2024-01-01 00:00:00,12.183800704383213,221.83540863538627,0.0,0.0,0.0,0,0
2024-01-01 00:00:07,7.379922637510228,236.26563912420028,0.003390376380685988,0.003390376380685988,0.0,0,0
2024-01-01 00:00:14,14.937679004626066,228.07620852043686,0.0100149609196563,0.006624584538970312,0.003390376380685988,0,0
2024-01-01 00:00:21,13.645523625685737,223.07733975129182,0.015933863633411753,0.0059189027137554525,0.006624584538970312,0,0
2024-01-01 00:00:28,7.235253168525929,231.2677970530374,0.019187465697256753,0.003253602063845,0.0059189027137554525,0,0
2024-01-01 00:00:35,12.91612093441053,232.55101371226579,0.025027909896060005,0.005840444198803252,0.003253602063845,0,0
2024-01-01 00:00:42,13.536306611080374,223.63023023008404,0.030913990881422892,0.005886080985362887,0.005840444198803252,0,0
2024-01-01 00:00:49,8.935805108285923,237.16883806573128,0.03503484132670011,0.004120850445277217,0.005886080985362887,0,0
2024-01-01 00:00:56,14.207444467506257,229.28340848934016,0.041368929952819544,0.006334088626119436,0.004120850445277217,0,0
2024-01-01 00:01:03,13.650720139476258,224.9205299015516,0.047339010633697734,0.00597008068087819,0.006334088626119436,0,0
2024-01-01 00:01:10,11.435201832097068,230.24772127583668,0.05245859511958311,0.005119584485885377,0.00597008068087819,0,0
2024-01-01 00:01:17,6.289573355597435,220.28981958489447,0.05515267924691467,0.0026940841273315613,0.005119584485885377,0,0
2024-01-01 00:01:24,11.009234674202167,220.19882731711186,0.05986644145647785,0.004713762209563176,0.0026940841273315613,0,0
2024-01-01 00:01:31,14.506911633216426,225.38916295485603,0.06622419275939312,0.006357751302915271,0.004713762209563176,0,0
2024-01-01 00:01:38,9.820846283843217,220.43433156526348,0.07043362659325125,0.004209433833858134,0.006357751302915271,0,0
2024-01-01 00:01:45,9.332416877294179,234.89905966853607,0.07469619093835632,0.004262564345105066,0.004209433833858134,0,0
2024-01-01 00:01:52,8.964538633563713,236.78058294582425,0.07882352448959772,0.004127333551241397,0.004262564345105066,0,0
2024-01-01 00:01:59,12.499416442496635,223.46104175058016,0.0842546156942095,0.005431091204611785,0.004127333551241397,0,0
2024-01-01 00:02:06,6.888746321383286,221.28617942879634,0.08721869638354049,0.002964080689330989,0.005431091204611785,0,0
2024-01-01 00:02:13,7.438224898127928,228.1936829612581,0.09051911070003649,0.0033004143164959976,0.002964080689330989,0,0
2024-01-01 00:02:20,6.482910560416285,236.52279096592082,0.0935006364487378,0.002981525748701308,0.0033004143164959976,0,0
2024-01-01 00:02:27,5.161561011885636,220.20481108156216,0.09571069310778159,0.0022100566590437937,0.002981525748701308,0,0
